STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-11-19 14:03:00,ASSAULT,0,0,0,0,0,0,1,0,40,MALE,WHITE HISPANIC,5,1,True,Thirtyeight-Above,1,1
2021-11-19 14:42:00,OTHER,0,0,1,0,0,0,1,0,30,MALE,WHITE HISPANIC,76,2,True,Twentyeight-Thirtyeight,1,1
2021-11-19 16:01:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,27,MALE,BLACK,60,1,True,Twentyone-Twentyeight,1,1
2021-11-19 16:23:00,GRAND LARCENY,0,0,0,0,0,0,1,0,19,MALE,BLACK,14,1,True,Twenty and Under,1,1
2021-11-19 17:00:00,CRIMINAL POSSESION OF WEAPON,0,1,1,0,0,0,0,0,UNKNOWN,MALE,BLACK,44,1,True,UNKNOWN,1,1
2021-11-19 17:41:00,PETIT LARCENY,1,0,0,0,0,0,1,0,42,MALE,BLACK,112,1,True,Thirtyeight-Above,1,0
2021-11-19 18:58:00,RECKLESS ENDANGERMENT,0,0,0,0,0,0,1,0,22,FEMALE,BLACK,32,1,True,Twentyone-Twentyeight,1,1
2021-11-19 20:12:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,WHITE HISPANIC,44,1,True,UNKNOWN,1,1
2021-11-19 21:50:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,29,MALE,BLACK,81,1,True,Twentyeight-Thirtyeight,1,1
2021-11-19 22:22:00,OTHER,1,0,0,0,0,0,1,0,26,MALE,BLACK,42,1,True,Twentyone-Twentyeight,1,0
2021-11-19 22:55:00,CRIMINAL POSSESION OF WEAPON,1,0,1,0,0,0,1,0,28,MALE,BLACK,23,2,True,Twentyone-Twentyeight,1,0
2021-11-19 23:21:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,18,MALE,BLACK,47,1,True,Twenty and Under,1,1
2021-11-19 23:40:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,26,MALE,BLACK HISPANIC,44,1,True,Twentyone-Twentyeight,1,1
2021-11-19 23:55:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,23,MALE,BLACK,49,1,True,Twentyone-Twentyeight,1,1
2021-11-20 00:05:00,ROBBERY,1,0,0,0,0,0,1,0,60,MALE,WHITE,24,1,True,Thirtyeight-Above,1,0
2021-11-20 00:55:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,17,MALE,BLACK,42,1,True,Twenty and Under,1,0
2021-11-20 01:00:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK,73,1,True,UNKNOWN,1,1
2021-11-20 01:17:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,26,MALE,BLACK,75,1,True,Twentyone-Twentyeight,1,1
2021-11-20 02:15:00,ROBBERY,1,0,1,0,0,0,0,0,29,MALE,WHITE HISPANIC,34,1,True,Twentyeight-Thirtyeight,1,0
2021-11-20 03:46:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,15,MALE,WHITE HISPANIC,115,1,True,Twenty and Under,1,1
2021-11-20 03:46:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,18,MALE,WHITE HISPANIC,115,1,True,Twenty and Under,1,1
2021-11-20 03:46:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,WHITE HISPANIC,115,1,True,Twentyone-Twentyeight,1,1
2021-11-20 03:46:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,26,FEMALE,WHITE HISPANIC,115,1,True,Twentyone-Twentyeight,1,1
2021-11-20 03:46:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,WHITE HISPANIC,115,1,True,Twentyone-Twentyeight,1,1
2021-11-20 04:55:00,ASSAULT,1,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK HISPANIC,94,1,True,UNKNOWN,1,0
2021-11-20 06:04:00,MAKING GRAFFITI,1,0,0,0,0,0,1,0,37,MALE,WHITE,114,1,True,Twentyeight-Thirtyeight,1,0
2021-11-20 07:45:00,PETIT LARCENY,0,0,0,0,0,0,1,0,30,MALE,WHITE,60,1,True,Twentyeight-Thirtyeight,1,1
2021-11-20 07:50:00,GRAND LARCENY,1,0,1,0,0,0,1,0,28,MALE,BLACK,19,2,True,Twentyone-Twentyeight,1,0
2021-11-20 07:50:00,GRAND LARCENY,1,0,1,0,0,0,1,0,33,MALE,BLACK HISPANIC,19,2,True,Twentyeight-Thirtyeight,1,0
2021-11-20 12:31:00,ASSAULT,1,0,0,0,0,0,1,0,35,MALE,BLACK,14,1,True,Twentyeight-Thirtyeight,1,0
2021-11-20 13:38:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,44,MALE,BLACK,52,1,True,Thirtyeight-Above,1,1
2021-11-20 13:40:00,MENACING,1,0,0,0,0,0,1,0,40,MALE,BLACK,5,1,True,Thirtyeight-Above,1,0
2021-11-20 17:55:00,OTHER,1,0,0,0,0,0,1,0,36,MALE,WHITE,14,1,True,Twentyeight-Thirtyeight,1,0
2021-11-20 19:47:00,ROBBERY,0,0,0,0,0,0,1,0,25,MALE,BLACK,43,1,True,Twentyone-Twentyeight,1,1
2021-11-20 20:13:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,22,MALE,WHITE,33,1,True,Twentyone-Twentyeight,1,1
2021-11-20 20:18:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,20,MALE,BLACK,67,1,True,Twenty and Under,1,1
2021-11-20 20:25:00,ROBBERY,0,0,0,0,0,0,1,0,21,MALE,BLACK,47,1,True,Twentyone-Twentyeight,1,1
2021-11-20 21:55:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,30,MALE,BLACK,10,1,True,Twentyeight-Thirtyeight,1,1
2021-11-20 22:48:00,ASSAULT,1,0,0,0,0,0,1,0,62,MALE,E. ASIAN,24,1,True,Thirtyeight-Above,1,0
2021-11-20 23:07:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,UNKNOWN,47,1,True,UNKNOWN,1,1
2021-11-20 23:51:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,22,MALE,BLACK,47,1,True,Twentyone-Twentyeight,1,0
2021-11-20 23:54:00,ROBBERY,0,0,0,0,0,0,1,0,40,MALE,BLACK,70,1,True,Thirtyeight-Above,1,1
2021-11-21 00:43:00,PETIT LARCENY,0,0,0,0,0,0,1,0,40,MALE,WHITE,94,1,True,Thirtyeight-Above,1,1
2021-11-21 00:54:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,50,MALE,BLACK,113,1,True,Thirtyeight-Above,1,1
2021-11-21 01:20:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,15,MALE,BLACK,67,1,True,Twenty and Under,1,1
2021-11-21 01:50:00,ROBBERY,0,0,0,0,0,0,1,0,25,MALE,BLACK,77,1,True,Twentyone-Twentyeight,1,1
2021-11-21 01:56:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,25,MALE,BLACK,71,1,True,Twentyone-Twentyeight,1,1
2021-11-21 02:20:00,ROBBERY,0,0,0,0,0,0,1,0,30,MALE,BLACK,69,1,True,Twentyeight-Thirtyeight,1,1
2021-11-21 02:20:00,ROBBERY,0,0,0,0,0,0,1,0,31,MALE,BLACK,69,1,True,Twentyeight-Thirtyeight,1,1
2021-11-21 03:00:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK,42,1,True,UNKNOWN,1,1
2021-11-21 03:10:00,PETIT LARCENY,0,0,0,0,0,0,1,0,75,MALE,WHITE,66,1,True,Thirtyeight-Above,1,1
2021-11-21 03:19:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,31,MALE,BLACK,10,1,True,Twentyeight-Thirtyeight,1,0
2021-11-21 03:38:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,WHITE HISPANIC,40,1,True,UNKNOWN,1,1
2021-11-21 03:47:00,ROBBERY,0,0,1,0,0,0,0,0,30,MALE,BLACK,33,1,True,Twentyeight-Thirtyeight,1,1
2021-11-21 04:05:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,30,MALE,BLACK HISPANIC,52,1,True,Twentyeight-Thirtyeight,1,1
